,pos_x,pos_y,r,t
3900,45.0,17.0,0,7800
3901,45.0,16.980000000000004,0,7802
3902,45.0,16.959999999999997,0,7804
3903,45.0,16.939999999999998,0,7806
3904,45.0,16.92,0,7808
3905,45.0,16.900000000000006,0,7810
3906,45.0,16.879999999999995,0,7812
3907,45.0,16.86,0,7814
3908,45.0,16.840000000000003,0,7816
3909,45.0,16.820000000000004,0,7818
3910,45.0,16.799999999999997,0,7820
3911,45.0,16.78,0,7822
3912,45.0,16.76,0,7824
3913,45.0,16.740000000000002,0,7826
3914,45.0,16.72,0,7828
3915,45.0,16.7,0,7830
3916,45.0,16.68,0,7832
3917,45.0,16.660000000000004,0,7834
3918,45.0,16.639999999999997,0,7836
3919,45.0,16.619999999999997,0,7838
3920,45.0,16.6,0,7840
3921,45.0,16.580000000000005,0,7842
3922,45.0,16.559999999999995,0,7844
3923,45.0,16.54,0,7846
3924,45.0,16.520000000000003,0,7848
3925,45.0,16.500000000000004,0,7850
3926,45.0,16.479999999999997,0,7852
3927,45.0,16.46,0,7854
3928,45.0,16.44,0,7856
3929,45.0,16.42,0,7858
3930,45.0,16.4,0,7860
3931,45.0,16.38,0,7862
3932,45.0,16.36,0,7864
3933,45.0,16.340000000000003,0,7866
3934,45.0,16.319999999999997,0,7868
3935,45.0,16.299999999999997,0,7870
3936,45.0,16.28,0,7872
3937,45.0,16.260000000000005,0,7874
3938,45.0,16.239999999999995,0,7876
3939,45.0,16.22,0,7878
3940,45.0,16.200000000000003,0,7880
3941,45.0,16.180000000000003,0,7882
3942,45.0,16.159999999999997,0,7884
3943,45.0,16.14,0,7886
3944,45.0,16.12,0,7888
3945,45.0,16.1,0,7890
3946,45.0,16.08,0,7892
3947,45.0,16.06,0,7894
3948,45.0,16.04,0,7896
3949,45.0,16.020000000000003,0,7898
3950,45.0,15.999999999999996,0,7900
3951,45.0,15.979999999999997,0,7902
3952,45.0,15.96,0,7904
3953,45.0,15.940000000000005,0,7906
3954,45.0,15.919999999999995,0,7908
3955,45.0,15.899999999999999,0,7910
3956,45.0,15.880000000000003,0,7912
3957,45.0,15.860000000000003,0,7914
3958,45.0,15.839999999999996,0,7916
3959,45.0,15.82,0,7918
3960,45.0,15.8,0,7920
3961,45.0,15.780000000000001,0,7922
3962,45.0,15.759999999999998,0,7924
3963,45.0,15.739999999999998,0,7926
3964,45.0,15.719999999999999,0,7928
3965,45.0,15.700000000000003,0,7930
3966,45.0,15.679999999999996,0,7932
3967,45.0,15.659999999999997,0,7934
3968,45.0,15.64,0,7936
3969,45.0,15.620000000000005,0,7938
3970,45.0,15.599999999999994,0,7940
3971,45.0,15.579999999999998,0,7942
3972,45.0,15.560000000000002,0,7944
3973,45.0,15.540000000000003,0,7946
3974,45.0,15.519999999999996,0,7948
3975,45.0,15.5,0,7950
3976,45.0,15.48,0,7952
3977,45.0,15.46,0,7954
3978,45.0,15.439999999999998,0,7956
3979,45.0,15.419999999999998,0,7958
3980,45.0,15.399999999999999,0,7960
3981,45.0,15.380000000000003,0,7962
3982,45.0,15.359999999999996,0,7964
3983,45.0,15.339999999999996,0,7966
3984,45.0,15.32,0,7968
3985,45.0,15.300000000000004,0,7970
3986,45.0,15.279999999999994,0,7972
3987,45.0,15.259999999999998,0,7974
3988,45.0,15.240000000000002,0,7976
3989,45.0,15.220000000000002,0,7978
3990,45.0,15.199999999999996,0,7980
3991,45.0,15.18,0,7982
3992,45.0,15.16,0,7984
3993,45.0,15.14,0,7986
3994,45.0,15.119999999999997,0,7988
3995,45.0,15.099999999999998,0,7990
3996,45.0,15.079999999999998,0,7992
3997,45.0,15.060000000000002,0,7994
3998,45.0,15.039999999999996,0,7996
3999,45.0,15.019999999999996,0,7998
4000,45.0,15.0,1,8000
4001,45.0,15.0,1,8002
4002,45.0,15.0,1,8004
4003,45.0,15.0,1,8006
4004,45.0,15.0,1,8008
4005,45.0,15.0,1,8010
4006,45.0,15.0,1,8012
4007,45.0,15.0,1,8014
4008,45.0,15.0,1,8016
4009,45.0,15.0,1,8018
4010,45.0,15.0,1,8020
4011,45.0,15.0,1,8022
4012,45.0,15.0,1,8024
4013,45.0,15.0,1,8026
4014,45.0,15.0,1,8028
4015,45.0,15.0,1,8030
4016,45.0,15.0,1,8032
4017,45.0,15.0,1,8034
4018,45.0,15.0,1,8036
4019,45.0,15.0,1,8038
4020,45.0,15.0,1,8040
4021,45.0,15.0,1,8042
4022,45.0,15.0,1,8044
4023,45.0,15.0,1,8046
4024,45.0,15.0,1,8048
4025,45.0,15.0,1,8050
4026,45.0,15.0,1,8052
4027,45.0,15.0,1,8054
4028,45.0,15.0,1,8056
4029,45.0,15.0,1,8058
4030,45.0,15.0,1,8060
4031,45.0,15.0,1,8062
4032,45.0,15.0,1,8064
4033,45.0,15.0,1,8066
4034,45.0,15.0,1,8068
4035,45.0,15.0,1,8070
4036,45.0,15.0,1,8072
4037,45.0,15.0,1,8074
4038,45.0,15.0,1,8076
4039,45.0,15.0,1,8078
4040,45.0,15.0,1,8080
4041,45.0,15.0,1,8082
4042,45.0,15.0,1,8084
4043,45.0,15.0,1,8086
4044,45.0,15.0,1,8088
4045,45.0,15.0,1,8090
4046,45.0,15.0,1,8092
4047,45.0,15.0,1,8094
4048,45.0,15.0,1,8096
4049,45.0,15.0,1,8098
4050,45.0,15.0,1,8100
4051,45.0,15.0,1,8102
4052,45.0,15.0,1,8104
4053,45.0,15.0,1,8106
4054,45.0,15.0,1,8108
4055,45.0,15.0,1,8110
4056,45.0,15.0,1,8112
4057,45.0,15.0,1,8114
4058,45.0,15.0,1,8116
4059,45.0,15.0,1,8118
4060,45.0,15.0,1,8120
4061,45.0,15.0,1,8122
4062,45.0,15.0,1,8124
4063,45.0,15.0,1,8126
4064,45.0,15.0,1,8128
4065,45.0,15.0,1,8130
4066,45.0,15.0,1,8132
4067,45.0,15.0,1,8134
4068,45.0,15.0,1,8136
4069,45.0,15.0,1,8138
4070,45.0,15.0,1,8140
4071,45.0,15.0,1,8142
4072,45.0,15.0,1,8144
4073,45.0,15.0,1,8146
4074,45.0,15.0,1,8148
4075,45.0,15.0,1,8150
4076,45.0,15.0,1,8152
4077,45.0,15.0,1,8154
4078,45.0,15.0,1,8156
4079,45.0,15.0,1,8158
4080,45.0,15.0,1,8160
4081,45.0,15.0,1,8162
4082,45.0,15.0,1,8164
4083,45.0,15.0,1,8166
4084,45.0,15.0,1,8168
4085,45.0,15.0,1,8170
4086,45.0,15.0,1,8172
4087,45.0,15.0,1,8174
4088,45.0,15.0,1,8176
4089,45.0,15.0,1,8178
4090,45.0,15.0,1,8180
4091,45.0,15.0,1,8182
4092,45.0,15.0,1,8184
4093,45.0,15.0,1,8186
4094,45.0,15.0,1,8188
4095,45.0,15.0,1,8190
4096,45.0,15.0,1,8192
4097,45.0,15.0,1,8194
4098,45.0,15.0,1,8196
4099,45.0,15.0,1,8198
4100,45.0,15.0,1,8200
4101,45.0,15.0,1,8202
4102,45.0,15.0,1,8204
4103,45.0,15.0,1,8206
4104,45.0,15.0,1,8208
4105,45.0,15.0,1,8210
4106,45.0,15.0,1,8212
4107,45.0,15.0,1,8214
4108,45.0,15.0,1,8216
4109,45.0,15.0,1,8218
4110,45.0,15.0,1,8220
4111,45.0,15.0,1,8222
4112,45.0,15.0,1,8224
4113,45.0,15.0,1,8226
4114,45.0,15.0,1,8228
4115,45.0,15.0,1,8230
